	#_of_exp (A375)	#_of_exp(fc<0) (A375)	Essentiality Score (ES) (A375)	empirical_pVal (A375)	#_of_exp (A549)	#_of_exp(fc<0) (A549)	Essentiality Score (ES) (A549)	empirical_pVal (A549)	#_of_exp (BT20)	#_of_exp(fc<0) (BT20)	Essentiality Score (ES) (BT20)	empirical_pVal (BT20)	#_of_exp (LNCAP)	#_of_exp(fc<0) (LNCAP)	Essentiality Score (ES) (LNCAP)	empirical_pVal (LNCAP)	#_of_exp (MCF7)	#_of_exp(fc<0) (MCF7)	Essentiality Score (ES) (MCF7)	empirical_pVal (MCF7)	#_of_exp (MDAMB231)	#_of_exp(fc<0) (MDAMB231)	Essentiality Score (ES) (MDAMB231)	empirical_pVal (MDAMB231)	#_of_exp (PC3)	#_of_exp(fc<0) (PC3)	Essentiality Score (ES) (PC3)	empirical_pVal (PC3)
MTF2	90	55	-17.664	1e-05	138	97	-14.025	1e-05	96	67	-6.977	0.00285	101	47	-1.452	0.23773	174	100	-9.21	1e-05	96	53	-7.998	0.0038	78	45	-1.14	0.37241
MTFR1	90	41	3.985	0.813	138	71	1.68	0.6923	96	50	-0.478	0.43363	101	28	-3.24	0.1146	174	75	-1.193	0.23499	96	27	2.54	0.73259	78	42	-1.746	0.31537
MTHFD2	90	60	-21.398	1e-05	138	96	-21.925	1e-05	96	50	-14.444	2e-05	101	62	-10.184	1e-05	174	83	-2.022	0.09991	96	65	-14.909	1e-05	78	38	-30.115	1e-05
MUC1	90	49	-6.48	0.05887	138	82	6.733	0.98462	96	40	-5.485	0.04657	101	69	-1.191	0.2393	174	99	-9.215	1e-05	96	54	-0.95	0.37111	78	36	-0.045	0.49484
MVP	90	21	-1.7	0.39184	138	36	-2.125	0.32283	96	29	-0.497	0.44773	101	33	-0.931	0.34936	174	61	0.614	0.63455	96	14	-3.728	0.25228	78	32	1.187	0.61226
MYBL2	90	67	-21.73	1e-05	138	94	-25.959	1e-05	96	76	-14.1	1e-05	101	68	-11.064	1e-05	174	136	-9.676	1e-05	96	63	-13.904	1e-05	78	49	-25.945	1e-05
MYC	90	24	-13.068	0.01714	138	67	-16.363	1e-05	96	53	-1.919	0.24641	101	57	-4.649	0.00745	174	72	-0.719	0.33693	96	50	-7.01	0.01156	78	22	-5.978	0.12225
MYCBP	90	53	-15.907	7e-05	138	85	-20.882	1e-05	96	51	-13.068	2e-05	101	61	-13.08	1e-05	174	85	-12.417	1e-05	96	68	-11.683	1e-05	78	35	-16.442	0.00011
MYCBP2	90	56	-1.997	0.30142	138	62	5.238	0.9276	96	51	2.158	0.77412	101	47	-4.91	0.01075	174	98	-0.222	0.43789	96	73	-2.987	0.11811	78	44	-7.167	0.02372
MYL9	90	52	1.355	0.6346	138	57	1.356	0.64274	96	49	-8.114	0.00354	101	42	-1.35	0.26509	174	80	2.606	0.94624	96	19	-2.175	0.32517	78	35	-3.48	0.19311
MYLK	90	59	2.97	0.78656	138	90	-5.731	0.02698	96	59	1.384	0.70011	101	64	0.692	0.65304	174	119	-1.492	0.12958	96	47	-1.415	0.32432	78	38	-1.38	0.35808
MYO10	90	62	-17.859	1e-05	138	76	-10.461	0.00078	96	45	-1.563	0.30385	101	48	-8.361	0.00012	174	96	-5.448	0.00018	96	73	-6.734	0.00372	78	39	2.203	0.72097
NARFL	90	44	1.012	0.59483	138	71	-0.467	0.44369	96	49	-0.985	0.36648	101	60	1.101	0.72732	174	103	0.697	0.69043	96	64	-2.379	0.18709	78	55	3.67	0.87178
NCAPD2	90	48	-1.388	0.36966	138	81	-23.153	1e-05	96	34	1.914	0.71133	101	69	-5.472	0.0007	174	88	-2.278	0.06916	96	61	-9.085	0.00056	78	56	-11.612	0.00013
NCK1	90	34	0.736	0.55965	138	63	-4.325	0.1118	96	38	-7.004	0.02048	101	23	-1.164	0.34112	174	70	-6.853	0.00014	96	43	2.667	0.79375	78	40	-11.776	0.00124
NCK2	90	54	-5.937	0.06484	138	86	-5.826	0.02856	96	29	1.661	0.67286	101	45	-4.363	0.02139	174	88	-0.742	0.31035	96	57	-5.589	0.02547	78	27	-1.949	0.33295
NCOA3	90	27	-2.4	0.32875	138	64	-2.752	0.21679	96	15	-2.023	0.34458	101	26	-1.202	0.32809	174	51	-1.377	0.24362	96	29	-0.751	0.42555	78	40	-3.114	0.2046
NENF	90	30	1.599	0.62319	138	41	-4.628	0.14832	96	42	0.987	0.62494	101	11	-2.498	0.26627	174	75	-1.831	0.13422	96	27	-1.767	0.32963	78	24	2.283	0.68411
NET1	90	40	-19.972	2e-05	138	94	-8.42	0.00178	96	33	-6.047	0.04729	101	42	-7.674	0.00048	174	65	-2.25	0.10412	96	47	-8.568	0.00384	78	22	-3.244	0.25884
NFATC3	90	54	-13.414	0.0004	138	77	2.357	0.76803	96	63	6.856	0.99594	101	61	2.631	0.92832	174	106	-1.475	0.14705	96	64	-4.071	0.06511	78	42	1.859	0.69386
NFATC4	90	49	4.287	0.85196	138	77	4.207	0.90501	96	41	1.68	0.70206	101	29	-1.811	0.24393	174	89	-0.157	0.45737	96	51	1.241	0.66214	78	51	0.745	0.58904
NFE2L2	90	51	-4.419	0.13603	138	71	4.539	0.91203	96	25	-1.082	0.39481	101	51	-3.063	0.06106	174	97	-0.073	0.48053	96	43	4.571	0.91839	78	43	0.944	0.60128
NFIL3	90	56	-9.778	0.00588	138	71	-7.227	0.01622	96	41	-13.627	6e-05	101	56	-10.154	1e-05	174	86	-4.388	0.00327	96	51	-0.354	0.453	78	41	-18.101	1e-05
NFKB2	90	32	4.026	0.78855	138	48	1.811	0.67329	96	53	1.143	0.65786	101	46	-4.523	0.01755	174	78	-2.453	0.06913	96	57	0.18	0.52577	78	28	2.614	0.72076
NFKBIA	90	33	-4.478	0.18441	138	45	-2.67	0.26259	96	20	-4.528	0.16224	101	71	-1.588	0.17	174	54	-3.494	0.04098	96	39	1.053	0.62297	78	13	-5.937	0.187
NFKBIB	90	58	-15.072	8e-05	138	83	-6.623	0.01596	96	63	-7.499	0.00166	101	63	-6.779	9e-05	174	95	-7.739	1e-05	96	62	-5.867	0.01528	78	38	-13.729	0.00037
NFKBIE	90	57	-4.691	0.10683	138	57	3.274	0.81123	96	66	2.491	0.83986	101	40	0.514	0.59428	174	102	-0.799	0.28839	96	44	0.221	0.52635	78	47	4.335	0.89353
NGRN	90	43	-5.201	0.11878	138	100	-10.63	9e-05	96	59	-10.141	0.00012	101	68	-2.453	0.07576	174	87	-5.328	0.00044	96	47	-3.274	0.1474	78	48	-12.323	0.00026
NIPSNAP1	90	26	-5.953	0.14661	138	32	6.668	0.90638	96	30	-6.89	0.03692	101	47	-10.52	1e-05	174	68	-7.641	6e-05	96	21	-3.976	0.19579	78	19	-3.75	0.24528
NISCH	90	32	-4.565	0.18627	138	36	4.743	0.84335	96	34	0.774	0.5909	101	54	-2.156	0.13013	174	67	-0.542	0.37756	96	30	1.976	0.69562	78	25	-1.539	0.37036
NIT1	90	38	1.892	0.65832	138	53	3.816	0.83907	96	30	-1.476	0.34286	101	34	0.285	0.55034	174	83	0.962	0.72881	96	45	1.23	0.65035	78	47	-1.723	0.30958
NMT1	90	46	4.005	0.83005	138	74	-10.376	0.001	96	51	0.76	0.60443	101	58	-3.334	0.03795	174	109	-1.742	0.10292	96	49	-5.005	0.05314	78	47	-7.277	0.01909
NNT	90	41	-1.382	0.37477	138	72	-6.348	0.02742	96	48	-4.745	0.05582	101	65	-4.859	0.0031	174	79	-4.738	0.00217	96	60	2.152	0.78215	78	32	-1.553	0.35481
NOL3	90	31	-0.6	0.45154	138	44	-2.53	0.27401	96	53	-3.261	0.12236	101	47	-1.917	0.17475	174	98	1.045	0.76412	96	39	-1.535	0.32615	78	42	1.775	0.68562
NOLC1	90	53	-23.389	1e-05	138	97	-18.502	1e-05	96	77	-15.474	1e-05	101	74	-7.863	1e-05	174	96	-12.613	1e-05	96	48	-1.478	0.31647	78	38	-23.554	1e-05
NOS3	90	46	-0.455	0.45794	138	52	-2.757	0.23752	96	55	1.429	0.69521	101	29	2.31	0.81444	174	80	0.389	0.59552	96	45	-4.338	0.0878	78	32	2.877	0.75398
NOSIP	90	39	2.553	0.71147	138	73	0.843	0.60115	96	53	-0.639	0.4081	101	53	-3.173	0.05266	174	64	-4.6	0.00773	96	37	-7.951	0.01481	78	44	-2.023	0.28539
NOTCH1	90	53	1.753	0.67335	138	89	2.204	0.76969	96	53	2.748	0.83427	101	48	0.54	0.6051	174	110	1.443	0.8524	96	43	-5.916	0.03672	78	60	8.968	0.99819
NPC1	90	47	-10.638	0.00699	138	55	-2.311	0.27042	96	46	-0.516	0.43103	101	60	-1.019	0.28729	174	86	0.806	0.69798	96	34	0.467	0.54895	78	36	-1.816	0.32514
NPDC1	90	21	-0.934	0.44118	138	38	-0.546	0.44983	96	19	-2.769	0.273	101	26	-6.002	0.02209	174	35	-0.845	0.3609	96	28	0.254	0.52519	78	19	2.183	0.66116
NPEPL1	90	36	-2.781	0.28027	138	42	-0.505	0.4525	96	37	0.168	0.52168	101	33	-1.502	0.26812	174	47	-2.046	0.16442	96	43	-3.174	0.16638	78	30	4.062	0.8248
NPRL2	90	31	-0.379	0.46917	138	65	4.534	0.90288	96	55	-1.027	0.35302	101	42	0.523	0.5973	174	91	-1.527	0.1556	96	38	-3.844	0.13504	78	46	-6.6	0.03073
NR1H2	90	49	-9.153	0.01368	138	68	1.182	0.63588	96	38	-2.949	0.18684	101	53	0.703	0.64324	174	103	0.436	0.62318	96	56	-2.1	0.23337	78	38	0.434	0.54385
NR2F6	90	47	-23.898	1e-05	138	57	-1.439	0.35021	96	34	4.165	0.88203	101	47	-2.171	0.14549	174	73	-3.399	0.02387	96	46	0.958	0.61911	78	37	-14.58	0.00033
NR3C1	90	60	-0.695	0.42523	138	90	-0.972	0.3723	96	69	-2.646	0.13865	101	60	1.337	0.76892	174	92	-2.697	0.03718	96	69	0.772	0.61692	78	54	2.685	0.79741
NRAS	90	49	-9.051	0.01466	138	93	-5.259	0.03552	96	65	-9.895	5e-05	101	51	-7.751	9e-05	174	88	-8.18	1e-05	96	47	-0.042	0.49446	78	55	-8.873	0.00299
NRIP1	90	61	-7.669	0.01826	138	71	1.425	0.6651	96	57	-11.273	5e-05	101	51	-3.776	0.02972	174	40	-0.404	0.42627	96	44	-3.827	0.11837	78	44	-5.456	0.06439
NSDHL	90	40	-1.051	0.40723	138	63	6.146	0.95773	96	45	1.337	0.67432	101	69	-8.468	1e-05	174	48	-0.529	0.39543	96	44	-1.968	0.27277	78	26	-3.935	0.19845
NT5DC2	90	48	-18.611	3e-05	138	70	-7.501	0.0138	96	38	3.733	0.86984	101	76	-6.652	2e-05	174	81	-2.85	0.03854	96	65	-5.64	0.01676	78	26	4.747	0.84409
NUCB2	90	57	-13.721	0.00022	138	45	-19.106	2e-05	96	46	-7.363	0.00875	101	50	-7.79	0.00013	174	61	-0.658	0.3611	96	50	-4.673	0.06227	78	39	1.459	0.65165
NUDCD3	90	33	-1.13	0.41005	138	49	-4.37	0.14151	96	53	-6.548	0.01095	101	39	-4.711	0.02208	174	62	-1.88	0.15235	96	41	-8.564	0.00679	78	22	-5.217	0.15284
NUDT9	90	53	-5.246	0.09132	138	65	4.168	0.88386	96	41	2.461	0.7803	101	29	-3.035	0.12504	174	80	1.382	0.80523	96	34	-5.379	0.07388	78	48	0.201	0.52362
NUP133	90	36	0.999	0.58596	138	77	-2.383	0.22868	96	45	4.167	0.91327	101	61	-4.256	0.01037	174	96	-3.503	0.00918	96	49	-0.512	0.43192	78	56	-3.843	0.11382
NUP62	90	65	-19.168	1e-05	138	102	-19.883	1e-05	96	64	-7.125	0.00263	101	74	-8.871	1e-05	174	93	-10.403	1e-05	96	67	-12.638	1e-05	78	42	-10.603	0.00245
NUP85	90	55	-17.667	1e-05	138	48	12.352	0.99842	96	48	-3.295	0.13331	101	50	2.847	0.92174	174	74	-7.206	6e-05	96	58	-5.189	0.03265	78	28	-4.005	0.18496
NUP88	90	58	-22.065	1e-05	138	92	-21.04	1e-05	96	67	-13.554	1e-05	101	64	-6.408	0.00022	174	92	-9.069	1e-05	96	68	-13.504	1e-05	78	45	-16.293	1e-05
NUP93	90	55	-25.706	1e-05	138	88	-21.075	1e-05	96	69	-14.643	1e-05	101	67	-11.124	1e-05	174	95	-13.615	1e-05	96	49	-3.837	0.10532	78	42	-28.852	1e-05
NUSAP1	90	54	-12.494	0.00079	138	58	-3.473	0.17278	96	42	5.535	0.95763	101	59	-5.852	0.00108	174	87	-6.661	2e-05	96	64	-11.077	3e-05	78	38	-4.831	0.10587
NVL	90	28	3.193	0.72496	138	63	3.062	0.80717	96	45	-1.109	0.35903	101	18	5.048	0.92632	174	63	0.255	0.5556	96	54	-4.509	0.061	78	39	0.016	0.50439
ORC1	90	43	-1.711	0.34742	138	64	4.709	0.90806	96	48	0.455	0.56023	101	32	-0.015	0.49659	174	89	-0.343	0.40897	96	31	-5.177	0.09338	78	57	4.484	0.92355
OXA1L	90	33	-2.548	0.30234	138	41	-3.198	0.23337	96	25	3.973	0.83437	101	39	-0.061	0.48937	174	59	0.762	0.66161	96	36	1.88	0.70427	78	15	-15.87	0.0108
OXCT1	90	52	-12.115	0.00158	138	66	6.506	0.96843	96	63	-9.785	0.0001	101	40	-2.806	0.10461	174	113	-6.127	2e-05	96	64	-5.091	0.0294	78	48	-16.59	1e-05
OXSR1	90	51	-5.195	0.09863	138	58	-9.898	0.00488	96	56	-13.212	1e-05	101	75	-3.468	0.01692	174	92	-1.408	0.17374	96	43	-5.995	0.03488	78	34	0.651	0.56301
P4HA2	90	54	-12.118	0.00112	138	49	1.418	0.63839	96	50	-4.63	0.05463	101	57	-4.887	0.00528	174	113	-6.062	2e-05	96	43	-4.299	0.09503	78	37	-19.596	2e-05
P4HTM	90	42	5.024	0.87281	138	49	-4.808	0.11927	96	22	2.48	0.72158	101	39	-0.929	0.3376	174	54	-0.118	0.47449	96	44	-0.897	0.3909	78	22	-0.468	0.4633
PACSIN3	90	44	-20.574	2e-05	138	86	0.701	0.59537	96	54	-1.984	0.23634	101	37	-0.705	0.37769	174	96	-6.423	2e-05	96	65	-3.687	0.08205	78	40	2.019	0.70396
PAF1	90	46	1.795	0.66715	138	80	-13.405	2e-05	96	50	-2.511	0.19149	101	30	-2.872	0.13302	174	77	-0.126	0.46852	96	33	2.111	0.71516	78	61	-9.404	0.00109
PAFAH1B1	90	31	0.591	0.54573	138	56	-0.014	0.49855	96	43	1.353	0.66873	101	34	-1.702	0.23747	174	83	0.166	0.5405	96	43	-1.177	0.35889	78	42	1.2	0.6277
PAFAH1B3	90	53	-7.313	0.03208	138	66	-6.171	0.0382	96	63	-10.034	8e-05	101	72	-8.107	1e-05	174	91	-11.454	1e-05	96	48	-3.751	0.11357	78	32	1.435	0.63528
PAICS	90	58	-19.764	1e-05	138	99	-17.093	1e-05	96	69	-13.568	1e-05	101	72	-9.012	1e-05	174	114	-8.711	1e-05	96	74	-11.383	1e-05	78	40	-21.96	1e-05
PAK1	90	59	-7.685	0.02012	138	97	-7.055	0.00676	96	67	-6.774	0.00361	101	64	-2.373	0.08956	174	109	-1.029	0.22706	96	56	-7.206	0.0066	78	51	-7.542	0.01199
PAK4	90	54	-11.626	0.00176	138	51	-15.631	0.00011	96	58	-6.61	0.00725	101	64	-6.154	0.00026	174	87	-9.727	1e-05	96	50	-8.175	0.00434	78	32	-1.206	0.38497
PAK6	90	50	-10.319	0.00628	138	99	1.548	0.70766	96	43	-3.558	0.12593	101	73	-3.894	0.01041	174	120	-4.636	0.00025	96	67	-5.328	0.02152	78	38	-17.721	1e-05
PAN2	90	37	-7.463	0.05887	138	76	3.699	0.87398	96	37	-0.829	0.40232	101	34	-3.318	0.08819	174	58	-0.999	0.29584	96	46	3.981	0.89696	78	39	2.831	0.77336
PAPD7	90	44	0.408	0.53879	138	52	1.612	0.6587	96	28	1.158	0.61876	101	33	-2.134	0.19108	174	77	1.165	0.76156	96	42	0.351	0.54285	78	60	0.811	0.60351
PARP1	90	70	-20.732	1e-05	138	82	-20.88	1e-05	96	61	-9.701	0.00015	101	51	-7.974	8e-05	174	123	-3.143	0.00812	96	74	-5.561	0.01287	78	41	-27.082	1e-05
PARP2	90	54	-17.548	3e-05	138	82	-19.517	1e-05	96	60	-8.783	0.00055	101	53	-6.074	0.00131	174	85	-14.058	1e-05	96	66	-18.218	1e-05	78	40	-17.826	1e-05
PAX8	90	36	1.834	0.65287	138	46	4.674	0.86873	96	68	-0.226	0.46255	101	83	-2.196	0.07768	174	98	-2.957	0.02254	96	35	-2.738	0.22251	78	29	-1.835	0.3397
PCBD1	90	23	1.746	0.61517	138	57	-6.197	0.0495	96	40	-7.061	0.0164	101	57	-5.619	0.00176	174	62	-1.953	0.14367	96	36	4.113	0.87676	78	31	2.461	0.71975
PCCB	90	32	-8.261	0.05579	138	53	-0.959	0.40147	96	37	-14.027	0.00011	101	31	4.398	0.95412	174	57	-3.034	0.05908	96	48	-3.574	0.12504	78	33	-15.877	0.00023
PCK2	90	32	0.62	0.55053	138	82	-6.147	0.02466	96	35	1.267	0.64534	101	63	-10.994	1e-05	174	94	2.109	0.92008	96	51	-0.407	0.44584	78	53	-2.077	0.26347
PCM1	90	48	-18.2	3e-05	138	75	-8.831	0.00382	96	52	-0.736	0.39627	101	46	-8.237	0.00018	174	89	-5.525	0.00028	96	57	-12.406	1e-05	78	28	-13.349	0.00258
PCMT1	90	52	-8.501	0.01699	138	73	-15.376	2e-05	96	63	-7.33	0.00207	101	47	-4.54	0.01613	174	97	-6.146	5e-05	96	54	-0.216	0.47087	78	44	-19.142	1e-05
PCNA	90	46	-24.373	1e-05	138	60	-4.394	0.1138	96	40	-0.967	0.38301	101	53	-6.633	0.00053	174	81	-13.826	1e-05	96	62	-17.679	1e-05	78	29	5.237	0.88031
PDGFA	90	57	-19.101	1e-05	138	69	0.831	0.59741	96	51	-6.371	0.01426	101	68	-3.96	0.01053	174	52	-4.146	0.02271	96	60	1.9	0.75417	78	35	-3.012	0.22721
PDHX	90	55	5.802	0.93293	138	65	-1.214	0.3625	96	38	8.419	0.99259	101	29	5.271	0.97148	174	72	-2.228	0.0966	96	53	-3.681	0.10726	78	23	5.266	0.85254
PDIA5	90	65	-7.238	0.0208	138	71	-11.719	0.00032	96	63	-0.237	0.46252	101	44	-3.271	0.06445	174	85	-6.847	4e-05	96	34	-1.675	0.32223	78	44	-3.116	0.19136
PDLIM1	90	47	1.661	0.65569	138	60	-1.562	0.33181	96	43	-0.32	0.45901	101	60	-4.197	0.01145	174	64	-2.473	0.08631	96	24	-4.497	0.15355	78	32	-5.254	0.10829
PDS5A	90	54	-16.937	3e-05	138	65	-8.867	0.00621	96	43	-5.327	0.04494	101	55	-5.188	0.00398	174	64	-1.172	0.25508	96	51	-1.864	0.26764	78	43	-7.556	0.02008
PECR	90	49	1.637	0.65752	138	79	-1.533	0.31323	96	58	-3.001	0.12947	101	45	-4.674	0.01549	174	93	-5.406	0.00025	96	51	-3.75	0.10737	78	43	1.963	0.70536
PEX11A	90	55	-7.982	0.02	138	96	0.728	0.59737	96	49	-6.901	0.01042	101	76	-2.741	0.0445	174	95	-5.917	7e-05	96	57	3.734	0.90618	78	49	-8.883	0.00485
PFKL	90	68	-7.746	0.01254	138	82	-0.565	0.42942	96	58	-3.394	0.10178	101	56	-0.57	0.38031	174	102	-3.881	0.00406	96	36	-3.297	0.1795	78	47	-7.735	0.01404
PGAM1	90	50	-24.743	1e-05	138	44	-2.089	0.30978	96	44	-10.935	0.00038	101	31	11.707	0.99995	174	90	-8.174	1e-05	96	58	-4.968	0.03866	78	21	-11.173	0.0213
PGM1	90	51	-10.137	0.00686	138	45	-10.553	0.00725	96	39	-21.422	1e-05	101	47	-3.593	0.04244	174	91	-3.134	0.02057	96	52	-3.212	0.14092	78	28	-20.927	5e-05
PGRMC1	90	60	-13.178	0.00014	138	62	-8.179	0.01246	96	52	-7.781	0.00371	101	58	-7.799	3e-05	174	85	-9.362	1e-05	96	78	-6.432	0.00407	78	38	-7.814	0.02387
PHF15	90	63	-15.152	3e-05	138	95	-2.017	0.24364	96	51	-0.268	0.46077	101	68	-0.306	0.42855	174	113	-7.766	1e-05	96	70	-7.738	0.00108	78	34	-15.489	0.00023
PHGDH	90	56	-26.82	1e-05	138	90	-24.697	1e-05	96	50	-13.817	2e-05	101	63	-10.867	1e-05	174	92	-12.268	1e-05	96	50	-8.063	0.00473	78	33	-30.771	1e-05
PHKA1	90	35	2.311	0.68427	138	45	2.092	0.68937	96	55	-5.793	0.01877	101	40	-5.395	0.01083	174	114	-0.649	0.31771	96	65	-3.349	0.103	78	18	-4.594	0.20531
PHKB	90	28	-1.891	0.36222	138	59	-11.657	0.00109	96	25	-0.272	0.47536	101	48	-6.331	0.0018	174	92	-3.275	0.01564	96	65	0.223	0.53514	78	32	8.256	0.97234
PHKG2	90	46	3.411	0.79274	138	59	0.689	0.57629	96	71	-4.857	0.02239	101	57	-4.425	0.01001	174	95	-0.789	0.29808	96	58	-4.878	0.04169	78	48	0.041	0.50518
PIGB	90	36	-2.417	0.30626	138	67	0.419	0.55189	96	50	0.766	0.60445	101	48	3.963	0.97182	174	82	0.945	0.7265	96	55	-2.545	0.18766	78	40	-1.953	0.30137
PIH1D1	90	42	-6.375	0.07644	138	60	-12.174	0.00047	96	51	-3.367	0.11853	101	64	-4.853	0.00325	174	71	-2.55	0.06894	96	68	-9.973	8e-05	78	27	-1.272	0.38827
PIK3C2B	90	38	-1.135	0.40105	138	54	-3.305	0.19444	96	32	-17.588	1e-05	101	65	-6.643	8e-05	174	70	-2.972	0.04493	96	53	-0.829	0.38616	78	17	-11.794	0.02923
PIK3C3	90	37	-0.24	0.48216	138	50	-0.522	0.44981	96	26	-3.479	0.19012	101	52	-2.444	0.10733	174	75	0.153	0.53627	96	23	-5.038	0.13301	78	33	-2.64	0.26258
PIK3CA	90	27	5.493	0.84037	138	52	-0.239	0.47389	96	33	1.365	0.65118	101	27	-1.865	0.23997	174	79	0.573	0.63809	96	43	1.9	0.72063	78	41	4.299	0.87567
PIK3R3	90	65	-6.916	0.02573	138	52	-8.394	0.01737	96	37	-6.213	0.03539	101	60	-11.323	1e-05	174	88	-4.19	0.00393	96	44	-2.78	0.19529	78	47	-13.704	6e-05
PIK3R4	90	55	-21.67	1e-05	138	87	-18.909	1e-05	96	48	-10.002	0.00064	101	59	-8.022	3e-05	174	92	-2.055	0.08551	96	55	-4.701	0.05192	78	28	-21.619	3e-05
PIN1	90	37	5.439	0.87659	138	78	-6.695	0.01824	96	44	-3.417	0.13417	101	28	6.407	0.98698	174	79	-7.812	2e-05	96	54	-0.334	0.45497	78	18	-12.442	0.01973
PIP4K2B	90	55	-7.835	0.02164	138	70	-9.321	0.00287	96	52	-3.258	0.12594	101	65	-4.895	0.00292	174	89	-4.516	0.00205	96	62	-2.819	0.14892	78	24	-7.608	0.06389
PKIG	90	31	-7.489	0.07561	138	41	0.024	0.50457	96	44	-1.385	0.32508	101	46	-1.488	0.23637	174	66	0.05	0.51073	96	31	-1.822	0.31635	78	25	0.317	0.52935
PLA2G15	90	40	-6.737	0.06933	138	45	-4.526	0.14104	96	30	-8.928	0.01155	101	57	-3.543	0.02991	174	89	-5.864	0.00016	96	31	2.728	0.76349	78	25	-3.056	0.25748
PLA2G4A	90	35	2.076	0.66664	138	46	4.317	0.84947	96	36	6.438	0.96698	101	28	0.136	0.52159	174	91	-0.607	0.34471	96	41	1.24	0.6429	78	42	0.613	0.56609
PLCB3	90	58	-4.323	0.12365	138	93	-2.355	0.21093	96	42	-4.531	0.07636	101	69	3.26	0.97191	174	63	-0.579	0.37195	96	62	-2.109	0.21828	78	51	0.054	0.50651
PLEKHJ1	90	51	-5.697	0.07904	138	61	-1.19	0.36797	96	71	-0.485	0.42114	101	64	-4.885	0.00305	174	88	-1.476	0.16533	96	62	-9.195	0.00038	78	59	-7.682	0.00663
PLEKHM1	90	31	5.339	0.8484	138	58	0.92	0.59732	96	37	1.44	0.67018	101	26	-0.161	0.47677	174	80	-0.847	0.29785	96	36	-1.974	0.28978	78	33	2.077	0.69629
PLK1	90	44	-21.67	1e-05	138	78	-21.458	1e-05	96	46	0.541	0.5714	101	71	-9.243	1e-05	174	88	-8.681	1e-05	96	62	-17.982	1e-05	78	51	-20.167	1e-05
PLOD3	90	57	-16.002	3e-05	138	70	-3.493	0.14955	96	64	-11.455	2e-05	101	58	-0.538	0.38605	174	100	-7.906	1e-05	96	41	-8.435	0.00744	78	42	-2.595	0.23908
PLP2	90	39	-10.069	0.01602	138	45	-2.045	0.31262	96	56	-2.384	0.19021	101	27	-3.418	0.10699	174	81	-1.074	0.24823	96	53	-10.05	0.00043	78	34	-1.287	0.37373
PLS1	90	62	-9.975	0.00285	138	96	-6.017	0.01802	96	42	-4.626	0.07181	101	63	-6.885	7e-05	174	76	-0.797	0.31119	96	67	-6.107	0.00954	78	28	3.189	0.76164
PLSCR1	90	60	-14.781	1e-05	138	96	-8.358	0.00201	96	49	-4.984	0.04524	101	41	-3.557	0.055	174	112	-8.459	1e-05	96	64	-10.597	7e-05	78	39	-6.97	0.03473
PLSCR3	90	41	0.267	0.52049	138	60	-0.952	0.39444	96	53	-0.196	0.46946	101	62	0.763	0.66836	174	56	0.847	0.67298	96	44	-2.88	0.18692	78	32	-5.818	0.08595
PMAIP1	90	51	-18.381	2e-05	138	79	-22.187	1e-05	96	37	-4.435	0.09405	101	67	-11.051	1e-05	174	101	0.271	0.57685	96	41	-12.287	0.0003	78	47	-16.02	1e-05
PMM2	90	41	3.561	0.78578	138	63	3.02	0.80361	96	34	-3.948	0.1303	101	46	-0.655	0.37474	174	86	-0.599	0.34802	96	38	2.562	0.77254	78	49	0.768	0.58938
PNKP	90	36	-7.62	0.05876	138	55	2.843	0.77447	96	38	-8.1	0.00933	101	44	-2.732	0.09944	174	77	-4.604	0.00344	96	51	-3.389	0.13093	78	29	0.466	0.54605
PNP	90	48	-22.2	1e-05	138	81	-17.056	1e-05	96	71	-19.714	1e-05	101	82	-9.25	1e-05	174	100	-9.541	1e-05	96	75	-14.51	1e-05	78	48	-9.183	0.00428
POLB	90	35	-0.464	0.46145	138	74	-8.17	0.00731	96	63	-2.486	0.16584	101	49	-4.202	0.02087	174	90	-0.267	0.42876	96	68	-8.839	0.00049	78	38	-17.39	1e-05
POLD4	90	21	7.548	0.88332	138	33	-2.521	0.30087	96	31	-2.006	0.28879	101	30	-0.111	0.48162	174	85	-1.17	0.22603	96	29	-1.526	0.34862	78	23	1.088	0.58678
POLE2	90	55	-27.615	1e-05	138	100	-20.821	1e-05	96	67	-9.189	0.00016	101	85	-8.936	1e-05	174	113	-10.413	1e-05	96	70	-20.184	1e-05	78	49	-20.237	1e-05
POLG2	90	43	3.632	0.79853	138	66	-4.952	0.07694	96	58	-3.86	0.07358	101	55	-3.475	0.03503	174	52	-0.731	0.35373	96	58	-3.827	0.08617	78	33	-5.318	0.10075
POLR1C	90	42	4.355	0.83843	138	86	-8.177	0.00377	96	61	-8.093	0.00113	101	70	-5.525	0.00059	174	91	-3.951	0.00577	96	47	-2.249	0.23441	78	40	-2.448	0.25717
POLR2I	90	41	-16.332	0.0002	138	75	0.428	0.55409	96	59	0.182	0.52826	101	37	0.261	0.5463	174	67	0.266	0.56011	96	62	-4.238	0.05883	78	25	-6.792	0.08069
POLR2K	90	46	-25.065	1e-05	138	98	-14.191	1e-05	96	49	-4.407	0.06605	101	52	-14.176	1e-05	174	87	-11.995	1e-05	96	53	-8.943	0.00157	78	39	-18.557	1e-05
