	#_of_exp (A375)	#_of_exp(fc<0) (A375)	Essentiality Score (ES) (A375)	empirical_pVal (A375)	#_of_exp (A549)	#_of_exp(fc<0) (A549)	Essentiality Score (ES) (A549)	empirical_pVal (A549)	#_of_exp (BT20)	#_of_exp(fc<0) (BT20)	Essentiality Score (ES) (BT20)	empirical_pVal (BT20)	#_of_exp (LNCAP)	#_of_exp(fc<0) (LNCAP)	Essentiality Score (ES) (LNCAP)	empirical_pVal (LNCAP)	#_of_exp (MCF7)	#_of_exp(fc<0) (MCF7)	Essentiality Score (ES) (MCF7)	empirical_pVal (MCF7)	#_of_exp (MDAMB231)	#_of_exp(fc<0) (MDAMB231)	Essentiality Score (ES) (MDAMB231)	empirical_pVal (MDAMB231)	#_of_exp (PC3)	#_of_exp(fc<0) (PC3)	Essentiality Score (ES) (PC3)	empirical_pVal (PC3)
ACSL4	90	59	-11.091	0.00166	138	74	-7.605	0.01039	96	44	-6.623	0.01762	101	45	-7.751	0.00032	174	125	-5.073	8e-05	96	49	-1.569	0.30239	78	53	-7.935	0.00784
ACSL5	90	37	-2.612	0.28845	138	86	-0.911	0.3815	96	56	-5.146	0.03052	101	46	-0.467	0.40773	174	111	-5.091	0.00014	96	58	-9.438	0.00048	78	38	-2.309	0.27296
ACSL6	90	42	-3.346	0.226	138	83	6.382	0.98025	96	39	-1.804	0.28961	101	43	-0.746	0.36168	174	108	-1.202	0.19237	96	71	0.522	0.58141	78	47	-0.084	0.49059
ACSM1	90	58	-15.891	3e-05	138	54	-4.429	0.12288	96	64	-10.442	4e-05	101	52	-1.513	0.2173	174	79	2.256	0.91644	96	34	0.966	0.60517	78	39	4.011	0.85247
ACSM3	90	49	0.791	0.57898	138	54	-8.413	0.01567	96	58	-2.056	0.22113	101	32	-0.664	0.39102	174	76	-1.414	0.19532	96	40	-3.269	0.16579	78	37	2.232	0.71456
ACSM5	90	48	-3.612	0.19021	138	58	-3.184	0.19476	96	38	-0.612	0.42625	101	28	1.596	0.72832	174	99	-3.341	0.01175	96	44	-1.608	0.30846	78	34	1.617	0.65496
ACSS3	90	46	1.793	0.66546	138	70	3.513	0.85267	96	37	2.482	0.77235	101	51	1.544	0.78412	174	75	-0.559	0.36668	96	27	3.217	0.7849	78	39	8.44	0.98482
ACTA1	90	33	-4.998	0.15909	138	80	0.773	0.59765	96	62	-3.723	0.07649	101	51	-2.485	0.10561	174	89	1.878	0.88886	96	49	0.835	0.60662	78	44	1.53	0.66351
ACTA2	90	39	-0.346	0.47125	138	88	1.831	0.7294	96	56	-0.231	0.4642	101	66	0.898	0.69846	174	108	-1.703	0.10795	96	34	5.064	0.91369	78	30	3.939	0.81788
ACTB	90	49	-15.704	0.00013	138	82	-8.916	0.0021	96	53	-10.231	0.00028	101	68	-7.191	4e-05	174	83	-8.865	1e-05	96	51	-0.198	0.47447	78	33	5.537	0.90775
ACTC1	90	31	5.71	0.86498	138	59	2.794	0.78014	96	56	-9.86	0.00021	101	57	-1.578	0.19972	174	80	-2.883	0.03817	96	50	3.065	0.84551	78	41	0.318	0.53503
ACTG1	90	51	-4.627	0.12408	138	62	3.496	0.83481	96	51	-6.871	0.00952	101	51	-2.654	0.09125	174	80	-6.918	2e-05	96	56	4.77	0.95073	78	36	-0.914	0.40662
ACTG2	90	40	2.179	0.68691	138	66	3.697	0.85778	96	43	-1.29	0.339	101	30	1.568	0.73479	174	81	-0.149	0.4654	96	28	-0.027	0.49617	78	41	2.802	0.77552
ACTL6A	90	55	-19.635	1e-05	138	89	-9.851	0.00055	96	52	-6.345	0.01356	101	69	-8.337	1e-05	174	108	-8.233	1e-05	96	64	-6.268	0.01065	78	47	-0.155	0.48208
ACTL6B	90	58	-9.41	0.00645	138	66	-5.194	0.06827	96	52	3.209	0.87003	101	44	-1.707	0.20848	174	78	-0.214	0.44874	96	46	3.353	0.85707	78	48	-5.006	0.07422
ACTL7A	90	48	2.454	0.72584	138	69	-1.918	0.28633	96	57	-1.711	0.26105	101	44	1.945	0.82246	174	99	-2.24	0.06146	96	66	-4.764	0.03547	78	59	-5.032	0.05121
ACTL7B	90	39	2.602	0.71908	138	57	-2.896	0.2161	96	47	-4.25	0.07823	101	37	1.431	0.73467	174	76	-0.088	0.47805	96	63	-2.561	0.17166	78	48	-1.794	0.30098
ACTL8	90	50	11.578	0.99747	138	65	3.141	0.81516	96	36	-0.049	0.49652	101	48	-1.442	0.23679	174	86	-0.176	0.4538	96	40	2.043	0.72782	78	48	4.214	0.89009
ACTN1	90	49	-19.766	1e-05	138	69	-3.265	0.16766	96	60	-5.323	0.02225	101	54	-1.681	0.18753	174	82	-6.467	0.0001	96	50	-4.242	0.08174	78	37	-7.658	0.02639
ACTN2	90	39	-1.995	0.33128	138	83	2.119	0.75176	96	63	-6.604	0.00575	101	66	-2.623	0.06708	174	106	-1.916	0.08568	96	49	0.166	0.52063	78	41	-8.625	0.01129
ACTN3	90	40	-3.106	0.24753	138	79	-0.074	0.49039	96	65	-0.766	0.37994	101	34	1.049	0.67117	174	92	0.028	0.50893	96	31	5.244	0.90922	78	44	-2.204	0.26724
ACTN4	90	50	-9.139	0.01358	138	59	-5.126	0.08278	96	45	-2.324	0.22253	101	51	-0.873	0.32844	174	82	-5.257	0.00082	96	46	-4.949	0.05942	78	22	-7.144	0.08488
ACTR10	90	28	0.51	0.54028	138	69	-5.591	0.04951	96	28	-0.813	0.41882	101	48	-1.375	0.2469	174	84	1.501	0.83074	96	43	-1.093	0.36923	78	26	3.611	0.78096
ACTR1A	90	49	-17.492	5e-05	138	60	-9.853	0.00421	96	70	-9.109	0.00015	101	68	-5.784	0.00058	174	89	-8.439	1e-05	96	61	-4.962	0.0354	78	40	-9.472	0.00705
ACTR1B	90	36	-0.113	0.49044	138	51	-0.194	0.47874	96	40	0.355	0.5472	101	38	-4.308	0.034	174	69	-3.08	0.03931	96	31	5.16	0.90592	78	29	-2.083	0.31416
ACTR2	90	57	-6.315	0.04926	138	77	-1.683	0.2985	96	42	-7.218	0.01339	101	55	-8.405	1e-05	174	103	-2.642	0.03162	96	60	-6.153	0.01363	78	49	-16.955	1e-05
ACTR3	90	51	-5.329	0.09195	138	80	-4.756	0.0664	96	42	-4.575	0.0755	101	59	-6.132	0.00061	174	97	1.968	0.9082	96	61	-0.269	0.45885	78	49	-3.838	0.12969
ACTR3B	90	51	-12.036	0.0018	138	75	-4.919	0.06543	96	55	-2.777	0.1558	101	70	-5.195	0.0014	174	98	-4.996	0.00043	96	66	-7.724	0.00183	78	32	-13.34	0.00156
ACTR5	90	56	-9.743	0.00563	138	83	-9.655	0.00088	96	61	-10.478	4e-05	101	72	-1.269	0.22257	174	108	-5.064	0.00021	96	56	-2.54	0.18741	78	54	-0.762	0.40581
ACTR6	90	48	-7.034	0.0454	138	94	-13.689	1e-05	96	51	-6.947	0.00887	101	72	-6.773	4e-05	174	100	-2.631	0.03459	96	56	-10.932	0.0001	78	29	-10.057	0.01481
ACTR8	90	30	-0.394	0.46981	138	62	3.061	0.80317	96	46	-3.019	0.16001	101	51	-2.414	0.11228	174	89	0.73	0.68458	96	36	-1.96	0.28725	78	37	-2.757	0.23746
ACVR1	90	30	-0.521	0.45925	138	63	-0.988	0.39194	96	35	2.916	0.8041	101	32	0.362	0.55971	174	93	-1.642	0.13356	96	34	1.289	0.63888	78	34	-1.819	0.32672
ACVR1B	90	59	-9.172	0.00761	138	59	-1.224	0.37143	96	55	-1.229	0.32781	101	41	0.949	0.66669	174	105	-2.025	0.07367	96	50	-7.78	0.00588	78	48	-10.704	0.00116
ACVR2A	90	38	-3.671	0.21354	138	65	1.697	0.688	96	32	-7.693	0.02061	101	72	-0.283	0.43417	174	88	-5.13	0.0007	96	28	3.268	0.79046	78	45	-1.778	0.30603
ACVR2B	90	37	5.242	0.86688	138	59	1.692	0.68113	96	36	-0.366	0.45804	101	28	-2.093	0.21263	174	70	-2.518	0.07304	96	35	4.821	0.90793	78	43	7.535	0.97991
ACVRL1	90	36	4.764	0.84261	138	58	1.723	0.67836	96	51	-1.095	0.35033	101	35	0.939	0.65632	174	84	0.454	0.61382	96	45	-2.543	0.21439	78	45	-1.461	0.33863
ACYP1	90	54	-13.745	0.00036	138	88	-12.901	5e-05	96	61	-5.266	0.02236	101	70	-9.018	1e-05	174	123	-9.979	1e-05	96	73	-13.946	1e-05	78	43	-20.403	1e-05
ACYP2	90	26	-0.652	0.45435	138	50	-0.781	0.42051	96	16	-2.302	0.32062	101	19	4.954	0.92869	174	87	-0.407	0.39271	96	33	3.138	0.80182	78	34	0.667	0.56547
ADA	90	41	-2.525	0.28484	138	53	4.705	0.88872	96	45	-1.22	0.3455	101	55	0.305	0.56776	174	101	0.625	0.66919	96	46	0.663	0.58292	78	47	-2.12	0.27074
ADAM10	90	50	-13.291	0.00081	138	61	-0.852	0.40518	96	35	-2.692	0.21466	101	58	-0.588	0.37379	174	74	-0.184	0.45733	96	35	-1.697	0.31974	78	37	2.235	0.71478
ADAM11	90	45	8.577	0.97575	138	74	-5.08	0.06052	96	56	-1.598	0.27443	101	42	-7.072	0.00137	174	96	-0.497	0.36759	96	63	-1.513	0.28671	78	58	1.677	0.70729
ADAM12	90	52	1.77	0.67114	138	57	-0.035	0.49377	96	53	2.058	0.76926	101	57	-0.605	0.37273	174	103	-1.027	0.2331	96	42	0.818	0.5958	78	48	2.032	0.72329
ADAM15	90	39	5.48	0.88413	138	53	-0.256	0.47441	96	53	-0.214	0.46914	101	51	-7.126	0.00036	174	94	-4.037	0.00418	96	52	1.79	0.72721	78	30	-6.679	0.06416
ADAM17	90	40	-2.496	0.29131	138	67	2.746	0.78816	96	36	-4.141	0.113	101	54	-2.479	0.09784	174	76	-2.054	0.10753	96	21	-0.419	0.46268	78	41	-1.866	0.30744
ADAM18	90	54	-1.642	0.33567	138	49	-1.185	0.38509	96	51	-1.79	0.26504	101	41	0.443	0.57825	174	77	-0.665	0.34208	96	50	-3.467	0.1275	78	51	-3.251	0.16301
ADAM19	90	50	-21.768	1e-05	138	75	-9.462	0.0018	96	64	-5.188	0.02074	101	49	2.775	0.91584	174	123	-3.144	0.00822	96	63	-14.444	1e-05	78	48	-2.182	0.26387
ADAM2	90	49	0.102	0.51242	138	52	-0.644	0.43286	96	53	-0.301	0.45657	101	24	-0.253	0.462	174	66	-1.387	0.21469	96	66	-1.549	0.28093	78	54	-1.629	0.30572
ADAM20	90	51	-0.261	0.47227	138	59	-9.142	0.00733	96	43	-0.611	0.42103	101	78	-6.158	6e-05	174	96	-4.591	0.00123	96	47	-2.029	0.25875	78	25	-4.129	0.19445
ADAM22	90	46	8.191	0.97237	138	67	-7.695	0.01351	96	58	0.321	0.54763	101	59	-0.48	0.39628	174	93	1.438	0.83362	96	52	1.084	0.64267	78	37	-15.559	8e-05
ADAM23	90	46	-11.293	0.00459	138	87	-13.672	1e-05	96	41	6.793	0.98187	101	62	-2.234	0.10578	174	90	-4.369	0.00273	96	56	-0.892	0.37589	78	52	-8.365	0.00566
ADAM28	90	33	-0.112	0.4918	138	64	-6.576	0.0316	96	49	-0.583	0.42273	101	51	-0.928	0.3188	174	87	0.77	0.69212	96	45	-6.175	0.02889	78	21	0.765	0.56035
ADAM29	90	43	13.625	0.99872	138	63	-0.613	0.43163	96	51	-1.996	0.2415	101	40	1.353	0.73064	174	91	-0.63	0.33726	96	58	-1.54	0.29276	78	52	0.631	0.57326
ADAM30	90	47	6.275	0.93216	138	65	5.225	0.9316	96	31	-3.409	0.1771	101	62	-4.591	0.00627	174	100	-1.007	0.24139	96	50	2.876	0.83046	78	48	4.828	0.9195
ADAM3A	90	48	5.994	0.92642	138	48	-4.885	0.11488	96	53	2.184	0.78345	101	37	2.764	0.88223	174	78	-2.674	0.05261	96	59	-0.76	0.39236	78	54	-0.253	0.46752
ADAM5P	90	43	5.491	0.89578	138	65	-1.983	0.28448	96	62	-2.204	0.19781	101	70	1.544	0.8202	174	110	-3.019	0.01487	96	60	-1.544	0.28913	78	43	-5.341	0.07155
ADAM7	90	48	1.568	0.64971	138	69	5.748	0.95421	96	55	-1.976	0.23674	101	42	0.638	0.61906	174	82	-1.318	0.20288	96	57	-3.64	0.0996	78	44	-3.574	0.15866
ADAM8	90	46	-19.957	1e-05	138	73	2.218	0.7487	96	42	-4.631	0.07287	101	49	1.213	0.72882	174	104	-0.153	0.45605	96	60	-5.363	0.02691	78	34	-5.944	0.07544
ADAM9	90	56	-5.317	0.08229	138	58	-1.714	0.3225	96	49	-1.731	0.27729	101	44	-0.821	0.34643	174	102	-2.34	0.0505	96	38	-3.418	0.16293	78	46	-1.922	0.28948
ADAMDEC1	90	39	2.202	0.68849	138	58	0.996	0.60562	96	44	-0.037	0.49599	101	67	-4.393	0.00611	174	91	-0.561	0.3538	96	56	-5.212	0.03483	78	48	-1.59	0.32184
ADAMTS1	90	58	-9.432	0.00637	138	47	-7.823	0.02975	96	46	-3.187	0.1466	101	65	1.561	0.81367	174	83	-2.767	0.04197	96	38	-4.011	0.12599	78	31	-8.006	0.03392
ADAMTS12	90	37	4.506	0.8306	138	65	2.27	0.74219	96	59	1.559	0.72197	101	29	-5.269	0.02869	174	79	-0.259	0.43458	96	41	-2.511	0.22505	78	53	5.053	0.93783
ADAMTS13	90	24	3.272	0.71419	138	49	-1.548	0.34955	96	46	0.017	0.50334	101	26	-3.365	0.11435	174	54	-1.372	0.23984	96	50	0.694	0.59347	78	33	2.157	0.70007
ADAMTS2	90	32	2.447	0.68812	138	68	-2.225	0.25604	96	48	4.912	0.95184	101	44	1.313	0.7353	174	86	-0.687	0.32568	96	39	0.864	0.6012	78	46	2.92	0.79602
ADAMTS20	90	57	-2.299	0.27427	138	67	6.386	0.96817	96	48	1.861	0.73927	101	44	-2.139	0.1556	174	82	0.651	0.66149	96	57	4.233	0.93077	78	60	-0.185	0.47547
ADAMTS3	90	50	-15.477	0.00013	138	78	-11.741	0.0002	96	55	1.087	0.65482	101	51	-3.951	0.02585	174	109	0.427	0.62304	96	53	1.742	0.72304	78	43	-4.332	0.11642
ADAMTS5	90	47	6.386	0.93547	138	46	1.602	0.65027	96	46	-3.81	0.1054	101	50	-2.501	0.10717	174	92	-1.571	0.14751	96	37	-1.41	0.34388	78	31	4.529	0.85414
ADAMTS6	90	40	-2.69	0.2772	138	57	6.265	0.95255	96	57	2.631	0.83283	101	35	0.45	0.57645	174	87	0.386	0.59823	96	46	6.761	0.98244	78	47	-3.187	0.18062
ADAMTS7	90	37	6.58	0.91678	138	56	4.647	0.89263	96	38	-2.231	0.24689	101	24	1.004	0.64192	174	52	-1.204	0.26954	96	41	0.259	0.5301	78	34	1.47	0.64136
ADAMTS8	90	36	-4.594	0.16949	138	43	1.124	0.60444	96	52	1.169	0.65965	101	36	3.572	0.93309	174	72	0.585	0.63931	96	31	-3.963	0.15232	78	43	0.672	0.57469
ADAMTS9	90	44	-3.201	0.23063	138	56	1.464	0.65351	96	61	-6.809	0.00475	101	70	1.599	0.82815	174	92	-1.878	0.10616	96	47	-1.125	0.36082	78	31	-1.524	0.35825
ADAMTSL2	90	46	-4.602	0.14063	138	50	-2.033	0.30238	96	33	-1.669	0.31692	101	35	-1.244	0.29796	174	60	-1.579	0.19732	96	42	-1.874	0.28274	78	34	-1.346	0.37067
ADAMTSL3	90	52	1.569	0.65274	138	79	-14.091	1e-05	96	44	2.417	0.78161	101	47	-1.368	0.25094	174	125	-6.863	1e-05	96	49	0.818	0.6043	78	36	3.74	0.82679
ADAMTSL4	90	34	-3.212	0.25669	138	63	5.241	0.92953	96	47	0.283	0.53891	101	54	-0.686	0.35718	174	103	-2.309	0.05176	96	41	-2.698	0.20826	78	41	1.39	0.64718
ADAP1	90	33	1.426	0.61285	138	49	2.02	0.69421	96	50	-1.839	0.26288	101	28	-0.086	0.4859	174	74	0.518	0.62364	96	28	2.442	0.72799	78	28	2.36	0.70325
ADAP2	90	34	3.115	0.73977	138	63	4.528	0.89828	96	38	1.957	0.72582	101	27	-2.906	0.14067	174	72	0.589	0.64018	96	26	-2.415	0.27958	78	39	2.223	0.72061
ADAR	90	52	0.026	0.50395	138	60	4.876	0.90984	96	40	-4.094	0.10484	101	43	-4.29	0.02588	174	93	-6.515	3e-05	96	47	3.013	0.83472	78	36	9.245	0.98845
ADARB1	90	47	-4.8	0.12669	138	55	0.766	0.58028	96	46	2.086	0.75563	101	27	-0.231	0.46243	174	73	0.218	0.55249	96	36	2.631	0.76837	78	39	2.66	0.75782
ADARB2	90	40	1.65	0.64486	138	61	-1.116	0.37756	96	56	-1.076	0.34351	101	24	1.532	0.70928	174	72	-0.728	0.33283	96	40	5.799	0.95386	78	37	-1.208	0.37445
ADAT1	90	51	-2.982	0.22812	138	82	1.88	0.72733	96	62	0.163	0.52415	101	44	-8.249	0.00026	174	104	-1.052	0.22632	96	65	-5.064	0.02939	78	64	-2.676	0.18254
ADCK2	90	35	-2.968	0.26911	138	51	-8.59	0.01661	96	64	-13.338	1e-05	101	73	-5.651	0.00034	174	93	-3.795	0.0066	96	53	-11.995	6e-05	78	29	-12.514	0.00374
ADCK3	90	51	-11.647	0.00255	138	104	-5.378	0.02522	96	70	0.007	0.49987	101	48	-1.142	0.28507	174	110	-1.254	0.18113	96	71	-6.429	0.00613	78	25	1.784	0.64751
ADCK4	90	36	0.982	0.58234	138	54	5.246	0.91337	96	51	2.323	0.79235	101	28	1.613	0.73047	174	93	-0.865	0.27992	96	37	1.71	0.6856	78	50	-1.349	0.34206
ADCY1	90	43	-0.865	0.42218	138	74	3.626	0.86675	96	56	-5.613	0.02089	101	48	-1.565	0.21893	174	68	-3.0	0.04653	96	59	-6.158	0.01403	78	42	-8.43	0.01171
ADCY10	90	45	5.909	0.91545	138	44	2.116	0.68918	96	50	-1.855	0.26113	101	46	-0.513	0.39909	174	91	-2.327	0.06211	96	58	1.313	0.68011	78	46	0.433	0.5466
ADCY2	90	41	2.372	0.70261	138	69	2.615	0.77834	96	41	0.111	0.51201	101	41	-0.682	0.37365	174	98	0.366	0.60028	96	56	2.259	0.78509	78	47	1.479	0.66591
ADCY3	90	57	-15.074	8e-05	138	86	-17.358	1e-05	96	71	-6.199	0.00511	101	72	-4.94	0.00195	174	102	-3.261	0.01188	96	68	-5.416	0.01908	78	29	-5.946	0.08975
ADCY6	90	38	-5.074	0.13696	138	60	0.608	0.56646	96	24	-0.199	0.47728	101	45	0.196	0.53992	174	76	-1.614	0.16323	96	43	-2.12	0.2595	78	37	3.087	0.78418
ADCY7	90	48	-10.916	0.00516	138	78	-12.145	0.00014	96	49	-6.476	0.014	101	52	-10.513	1e-05	174	104	-6.752	1e-05	96	57	-3.462	0.11071	78	32	-8.359	0.02714
ADCY8	90	45	-3.707	0.19059	138	42	8.053	0.96531	96	40	-0.997	0.38056	101	31	-0.784	0.3741	174	82	0.552	0.63816	96	24	2.67	0.73417	78	41	1.24	0.63207
ADCY9	90	42	-3.335	0.22667	138	55	-0.14	0.48612	96	30	2.399	0.74311	101	53	-2.733	0.07976	174	80	-3.836	0.01045	96	47	-1.133	0.36006	78	36	6.472	0.94576
ADCYAP1	90	50	3.696	0.8195	138	65	-5.596	0.056	96	59	1.165	0.67101	101	30	-1.844	0.23256	174	93	1.92	0.89992	96	42	-0.274	0.46457	78	46	-2.218	0.26125
ADCYAP1R1	90	52	-3.257	0.20763	138	72	-10.028	0.00149	96	30	-3.811	0.15191	101	63	0.528	0.61879	174	83	-0.788	0.30682	96	49	-2.65	0.19197	78	35	1.834	0.67748
ADD1	90	46	0.409	0.53998	138	87	-0.691	0.40994	96	41	0.468	0.5578	101	40	-2.181	0.16356	174	86	0.175	0.54517	96	55	4.496	0.94035	78	38	8.802	0.9872
ADD2	90	44	-2.351	0.29399	138	82	-7.662	0.00686	96	52	2.696	0.82873	101	40	-0.928	0.33569	174	80	0.164	0.53967	96	46	1.269	0.65691	78	50	-7.215	0.01594
ADD3	90	42	-5.252	0.11918	138	78	-5.569	0.04092	96	42	-0.486	0.43823	101	43	-1.315	0.26825	174	103	-4.091	0.00229	96	47	-6.09	0.02741	78	43	-8.745	0.00897
ADH1A	90	41	-1.391	0.37701	138	61	-9.388	0.00524	96	39	-0.809	0.4011	101	38	0.241	0.54453	174	88	0.234	0.56218	96	49	-0.895	0.38363	78	46	0.582	0.56394
ADH1B	90	44	0.155	0.51377	138	70	1.766	0.7007	96	54	2.395	0.80601	101	45	2.612	0.89286	174	96	-0.755	0.30433	96	42	-1.991	0.27148	78	43	4.304	0.88224
ADH1C	90	44	2.268	0.70154	138	64	0.427	0.55105	96	46	4.003	0.90798	101	34	-0.233	0.46026	174	98	1.653	0.87266	96	49	1.132	0.64396	78	42	2.265	0.73193
ADH5	90	36	-2.958	0.26772	138	76	1.035	0.62335	96	47	3.03	0.84487	101	56	-0.334	0.42901	174	92	-4.035	0.00465	96	56	-3.476	0.11277	78	36	-3.197	0.20743
ADH6	90	52	9.596	0.99141	138	64	-3.867	0.13718	96	29	4.776	0.89431	101	53	-6.921	0.00046	174	111	-1.537	0.1313	96	57	-2.856	0.15622	78	39	-1.767	0.31925
ADH7	90	46	-11.697	0.00367	138	68	4.32	0.89722	96	30	0.278	0.53103	101	54	-2.311	0.113	174	83	-0.174	0.45619	96	68	-0.31	0.45066	78	37	-2.852	0.23
ADI1	90	50	-10.386	0.00655	138	92	-12.245	7e-05	96	43	-2.094	0.2513	101	41	-3.047	0.0856	174	75	-7.514	4e-05	96	53	-7.736	0.00489	78	30	-3.278	0.22415
ADIPOQ	90	44	5.982	0.91624	138	65	-0.378	0.45688	96	60	-1.671	0.26226	101	57	4.116	0.98499	174	77	-0.587	0.35963	96	55	-3.126	0.13975	78	34	2.297	0.71334
ADIPOR1	90	40	-14.965	0.00076	138	79	-3.756	0.11986	96	23	-1.143	0.38753	101	33	-2.112	0.19225	174	74	-3.735	0.01512	96	48	-5.703	0.03485	78	28	-1.786	0.34337
ADIPOR2	90	51	5.271	0.90493	138	51	-6.09	0.06198	96	33	-1.112	0.37437	101	40	-0.115	0.4796	174	71	-2.094	0.1086	96	32	-1.896	0.30697	78	36	2.645	0.74785
ADK	90	47	-12.053	0.00243	138	73	-12.291	0.0001	96	66	-13.028	1e-05	101	64	-8.982	1e-05	174	94	-8.397	1e-05	96	78	-11.383	1e-05	78	41	-15.958	2e-05
ADM	90	42	3.487	0.78643	138	72	3.078	0.82349	96	57	3.291	0.88653	101	57	-0.271	0.44243	174	79	0.173	0.54072	96	53	-5.324	0.03706	78	61	-5.2	0.04455
ADM2	90	51	-4.095	0.15363	138	66	4.862	0.91914	96	56	-4.454	0.0514	101	43	-2.775	0.09847	174	100	-1.401	0.16474	96	48	0.806	0.60371	78	49	-4.325	0.1025
ADNP	90	45	-10.081	0.00994	138	82	-7.025	0.01214	96	69	-6.949	0.00243	101	49	-5.194	0.00628	174	83	-0.212	0.44714	96	63	-2.817	0.14942	78	38	-8.307	0.01716
ADNP2	90	46	-3.244	0.22289	138	77	-0.904	0.38756	96	62	-10.592	3e-05	101	45	-3.454	0.05231	174	71	0.36	0.58477	96	38	1.339	0.65363	78	37	-5.603	0.0774
ADO	90	53	-6.111	0.06276	138	101	-2.886	0.15438	96	67	-11.565	2e-05	101	81	-6.013	6e-05	174	110	-7.288	1e-05	96	75	-7.819	0.00093	78	39	0.559	0.55834
ADORA1	90	38	2.817	0.72865	138	39	-2.187	0.31534	96	58	-0.484	0.42839	101	40	-2.099	0.17256	174	91	-0.579	0.34942	96	42	-9.176	0.0038	78	44	0.811	0.58653
ADORA2B	90	41	-8.449	0.03289	138	70	-8.977	0.00456	96	56	-12.96	1e-05	101	39	-0.621	0.39039	174	89	-2.182	0.07787	96	63	-8.596	0.00074	78	51	0.076	0.50791
ADORA3	90	41	8.675	0.97199	138	50	-0.368	0.46165	96	26	-1.524	0.3485	101	32	-2.357	0.16936	174	81	-1.745	0.14104	96	36	1.842	0.69555	78	45	0.609	0.57008
ADPGK	90	51	0.933	0.59103	138	58	3.353	0.81791	96	39	-3.54	0.13857	101	44	-3.448	0.05525	174	104	-2.817	0.02428	96	45	-2.094	0.2573	78	40	1.45	0.65053
ADPRH	90	47	-11.073	0.00456	138	78	-13.454	3e-05	96	49	-5.786	0.02462	101	64	-8.931	1e-05	174	94	-3.17	0.01726	96	67	-5.283	0.02263	78	36	-15.151	0.00016
ADRA1A	90	39	2.691	0.72525	138	54	1.495	0.65208	96	51	-0.597	0.41636	101	21	0.216	0.52969	174	75	-0.303	0.42709	96	55	-0.527	0.42657	78	43	2.107	0.7214
ADRA1B	90	41	1.641	0.64399	138	66	-1.251	0.3591	96	53	1.666	0.726	101	32	3.231	0.90238	174	79	-1.59	0.16208	96	46	3.22	0.84746	78	50	-2.765	0.20399
ADRA1D	90	50	0.903	0.58842	138	80	-4.23	0.09005	96	39	0.039	0.5046	101	26	1.689	0.73463	174	78	-0.202	0.45148	96	47	3.604	0.87755	78	44	0.927	0.59905
ADRA2A	90	55	-8.364	0.01609	138	69	-6.57	0.02678	96	55	0.55	0.58032	101	53	-0.198	0.45979	174	103	-0.602	0.3341	96	51	-2.757	0.1782	78	43	0.839	0.59328
ADRA2B	90	32	-0.663	0.45027	138	53	-0.627	0.43634	96	48	1.324	0.67497	101	26	-1.168	0.33258	174	79	-0.572	0.35957	96	37	-1.309	0.35444	78	47	2.199	0.73716
ADRA2C	90	47	-0.557	0.44578	138	55	-0.089	0.492	96	37	3.21	0.83207	101	31	-0.163	0.47376	174	36	-1.205	0.30278	96	27	0.553	0.55415	78	26	3.143	0.75089
ADRB1	90	52	8.499	0.98293	138	62	0.676	0.57248	96	46	-2.538	0.20144	101	45	1.39	0.7496	174	84	-0.169	0.45608	96	47	-1.522	0.3143	78	59	-2.882	0.17443
ADRB2	90	56	-8.052	0.01844	138	87	-3.664	0.11335	96	68	-4.377	0.03943	101	59	-2.602	0.07956	174	110	-3.53	0.00557	96	79	-12.14	1e-05	78	45	-8.996	0.00629
ADRB3	90	40	-10.459	0.01202	138	94	-6.727	0.01012	96	56	-10.84	9e-05	101	63	-7.467	3e-05	174	84	0.539	0.63446	96	51	1.768	0.72269	78	40	-12.061	0.00114
ADRBK1	90	53	-9.279	0.01008	138	80	-0.196	0.47468	96	55	1.087	0.6549	101	56	-2.389	0.10197	174	106	-2.562	0.03493	96	53	4.34	0.93042	78	31	-4.644	0.13875
ADRBK2	90	57	-0.656	0.43428	138	66	3.294	0.83043	96	27	6.407	0.94366	101	45	-0.258	0.45204	174	103	-4.354	0.00136	96	33	-1.792	0.31406	78	42	-4.262	0.12152
ADRM1	90	49	-14.406	0.00037	138	85	-7.481	0.00773	96	65	-7.627	0.00121	101	46	-3.318	0.05737	174	99	-1.896	0.09626	96	76	-4.521	0.03251	78	59	-6.894	0.01332
ADSL	90	46	-12.585	0.00195	138	68	-8.18	0.00909	96	73	-14.492	1e-05	101	54	-2.904	0.06566	174	86	-3.105	0.02369	96	42	-2.528	0.2198	78	52	-0.074	0.49001
ADSS	90	39	-10.878	0.01061	138	76	-9.564	0.00195	96	41	5.618	0.9591	101	37	-3.914	0.04949	174	107	-0.316	0.40738	96	58	-3.996	0.07851	78	49	-3.072	0.18221
AEBP1	90	37	2.889	0.73221	138	80	-3.52	0.131	96	56	-2.006	0.22736	101	54	-0.845	0.32679	174	90	-1.146	0.22359	96	45	3.409	0.85785	78	48	-0.174	0.47992
AEN	90	53	-22.59	1e-05	138	89	-17.139	1e-05	96	67	-16.032	1e-05	101	73	-8.52	1e-05	174	82	-9.083	1e-05	96	72	-12.528	2e-05	78	31	-18.83	7e-05
AES	90	25	1.778	0.62502	138	55	-1.175	0.37856	96	41	-1.286	0.33901	101	39	-1.026	0.3224	174	69	0.573	0.62898	96	34	1.829	0.69357	78	33	1.915	0.6795
